source,target,edge_track_name,spotify_track_name,spotify_artists,track_name_conincides,artists_coincides,id,preview,error
Bad Bunny,Anuel AA,Está Cabrón Ser Yo,Está Cabrón Ser Yo,"Bad Bunny, Anuel AA",TRUE,TRUE,4saHEjXw7O1NXJOzBkUKKG,https://p.scdn.co/mp3-preview/0859f08bb1b6a80c229ae4930b105ce262da94f7?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Myke Towers,Puesto Pa' Guerrial,Puesto Pa' Guerrial,"Bad Bunny, Myke Towers",TRUE,TRUE,5gCg2qMPzKkW4jS4dBKdDs,https://p.scdn.co/mp3-preview/49980ffcfbdc25e197df786461a5f441d0ebbf06?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Kendo Kaponi,P FKN R,P FKN R,"Bad Bunny, Kendo Kaponi, Arcangel",TRUE,TRUE,0fgsKar6uBO08vzHXkTjWi,https://p.scdn.co/mp3-preview/608f3e482c7505a9c6519c93669da272a54fb1ae?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Arcangel,Diles,Diles,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",TRUE,TRUE,6C1RD7YQVvt3YQj0CmuTeu,https://p.scdn.co/mp3-preview/0a4fa12dea105b71d7e0a9facddc6b8cfe138af5?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Duki,Loca - Remix,Loca - Remix,"KHEA, Bad Bunny, Duki, Cazzu",TRUE,TRUE,2ECIwi1a7mfokdDkkJ08Ne,https://p.scdn.co/mp3-preview/a2deeb347df776468ac9dd12d3c330c6c77804da?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Pablo Chill-E,Hablamos Mañana,Hablamos Mañana,"Bad Bunny, Duki, Pablo Chill-E",TRUE,TRUE,1V8XneTrX6kKeoxYbk4x6h,https://p.scdn.co/mp3-preview/99d4baf77eddf06e4d7f36241cf31326f25810dc?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,J Balvin,UN PESO,UN PESO,"J Balvin, Bad Bunny, Marciano Cantero",TRUE,TRUE,7hynhxDoDpgMIV12JuVtNa,https://p.scdn.co/mp3-preview/f318e0b0fa5077eb0e486c16b119c8e6eb3cc04c?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Marciano Cantero,UN PESO,UN PESO,"J Balvin, Bad Bunny, Marciano Cantero",TRUE,TRUE,7hynhxDoDpgMIV12JuVtNa,https://p.scdn.co/mp3-preview/f318e0b0fa5077eb0e486c16b119c8e6eb3cc04c?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,El Alfa,La Romana,La Romana,"Bad Bunny, El Alfa",TRUE,TRUE,1khmgu0pveJbkbpbkyvcQv,https://p.scdn.co/mp3-preview/f03e5195be95735ef839d1003044263517808900?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Julieta Venegas,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",TRUE,TRUE,4gzsuuZypVbxs0Af1LSZyB,https://p.scdn.co/mp3-preview/997d024aaabd3188e9842acc0c358df5e1460df7?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Aventura,Volví,Volví,"Aventura, Bad Bunny",TRUE,TRUE,2vmfvSoZBFAt9hhRoEByLi,https://p.scdn.co/mp3-preview/e1b8dd8e6f703ba1f3b2c56807b64002ac4868a6?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Nio Garcia,AM Remix,AM Remix,"Nio Garcia, J Balvin, Bad Bunny",TRUE,TRUE,05bfbizlM5AX6Mf1RRyMho,https://p.scdn.co/mp3-preview/653fe766f66b6357c2b8495848d97be9f91e0c99?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Luar La L,100 MILLONES,100 MILLONES,"Bad Bunny, Luar La L",TRUE,TRUE,4Ixc50wY5pbUvNEogTQ2wL,https://p.scdn.co/mp3-preview/a3a23a1f1902a31ac72c017c0671c7590e0b9241?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Ivy Queen,Yo Perreo Sola - Remix,Yo Perreo Sola - Remix,"Bad Bunny, Nesi, Ivy Queen",TRUE,TRUE,2cpteAYHcd4cjSxAeCkA52,https://p.scdn.co/mp3-preview/3e3b16b6385dc11ef5daeb942728de9e821559e9?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Ricky Martin,Cántalo,Cántalo,"Ricky Martin, Residente, Bad Bunny",TRUE,TRUE,7MkFd0UDHlILDrhBjGZH5K,https://p.scdn.co/mp3-preview/ea7463a8737246abd7bdfbf2ca0cc33000d0c926?cid=774b29d4f13844c495f206cafdad9c86,
