id,label,interval,followers,popularity,id,componentnumber,strongcompnum,indegree,outdegree,unique_collabs,weighted_indegree,weighted_outdegree,total_collabs,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
Pacho El Antifeka,Pacho El Antifeka,,168550,52,03Enzet8KLMkjdeQnbqbmn,0,66,30,25,55,43,37,80,7,0.310779,0.355793,5305.791606,0,0.002549
"Héctor ""El Father""","Héctor ""El Father""",,502798,63,2TjgzYcbTdsZjbT9OItIeB,0,66,8,21,29,18,49,67,7,0.310047,0.353029,226.218965,3,0.000615
Ñejo,Ñejo,,3221316,67,2OHKEe204spO7G7NcbeO2o,0,66,43,26,69,76,36,112,6,0.313866,0.36116,6150.590061,0,0.003706
Pj Sin Suela,Pj Sin Suela,,56812,55,0AdjzZxHJ4MfbImx2rD0Df,0,66,9,13,22,11,15,26,7,0.29379,0.326025,3409.833492,2,0.001463
DJ Nelson,DJ Nelson,,990782,72,2ydZrTy8U3kOMOzx20s3dg,0,66,21,34,55,58,83,141,6,0.318934,0.370992,8091.168788,3,0.001995
Bryant Myers,Bryant Myers,,7209077,76,6w9ToX5slZ4uIdmD17hJ3c,0,66,40,42,82,88,80,168,7,0.321792,0.379506,1605.227103,0,0.002931
Casper Magico,Casper Magico,,1901411,69,1fux65HMCBvfJHqlBc4Nno,0,66,37,33,70,84,74,158,7,0.322712,0.376046,1810.821391,0,0.00257
Darell,Darell,,3072112,75,1TtXnWcUs0FCkaZDPGYHdf,0,66,71,47,118,140,70,210,6,0.327393,0.38616,5488.481816,0,0.005347
Ozuna,Ozuna,,32957080,85,1i8SpTcr7yvPOmcqrbnVXY,0,66,58,61,119,137,136,273,6,0.350644,0.414409,8420.155198,0,0.004143
Cosculluela,Cosculluela,,4782377,70,00me4Ke1LsvMxt5kydlMyU,0,66,52,41,93,99,64,163,6,0.334038,0.389241,3309.291972,3,0.003513
Noriel,Noriel,,6095466,72,3RtNN1VnooWEn3KQk03DUL,0,66,51,53,104,117,112,229,7,0.330268,0.391805,8457.970919,0,0.00429
Brytiago,Brytiago,,5273721,73,00XhexlJEXQstHimpZN910,0,66,57,44,101,88,70,158,6,0.327529,0.385549,4380.397827,0,0.004198
Revol,Revol,,722845,58,2wYOpkTJZGByNEOjEnSmoW,0,66,11,33,44,14,57,71,7,0.320487,0.372438,564.608187,0,0.001023
De La Ghetto,De La Ghetto,,6103096,81,3EiLUeyEcA6fbRPSHkG5kb,0,66,93,69,162,209,135,344,6,0.359745,0.4273,25317.288019,0,0.007387
KHEA,KHEA,,4301934,75,4m6ubhNsdwF4psNf3R8kwR,0,66,32,17,49,50,25,75,7,0.304666,0.342923,5277.490981,10,0.003009
Cazzu,Cazzu,,4802210,73,6w3SkAHYPsQ1bxV7VDlG5y,0,66,27,24,51,41,28,69,7,0.315874,0.363894,6020.593139,10,0.00248
Alex Sensation,Alex Sensation,,167347,58,0OROVBEZCocg0FcgJpyBse,0,66,7,16,23,7,16,23,7,0.31424,0.355666,99.443584,0,0.000651
Benny Benni,Benny Benni,,281789,50,5gUZ67Vzi1FV2SnrWl1GlE,0,66,9,14,23,26,28,54,7,0.291191,0.330479,76.597915,0,0.00067
