source,target,edge_track_name,spotify_track_name,spotify_artists,track_name_conincides,artists_coincides,id,preview
Don Omar,Baby Rasta & Gringo,Desafio (Intro),Desafio (Intro),"Don Omar, Tempo, Tego Calderon, Angel Y Khriz, Baby Rasta & Gringo, Ivy Queen, John Eric, Jomar, Karel, Voltio, Las Guanabanas, Los Ganjas, Maestro, Mexicano 777, Nicky Jam, Street Boris, Wisin & Yandel, Zion & Lennox, Alexis y Fido",TRUE,TRUE,79h5FSU8pO9FjNfh6UPmsD,https://p.scdn.co/mp3-preview/fc35354d1bda7a56f4c6adff48fad5b622049ac8?cid=774b29d4f13844c495f206cafdad9c86
Don Omar,Ivy Queen,Desafio (Intro),Desafio (Intro),"Don Omar, Tempo, Tego Calderon, Angel Y Khriz, Baby Rasta & Gringo, Ivy Queen, John Eric, Jomar, Karel, Voltio, Las Guanabanas, Los Ganjas, Maestro, Mexicano 777, Nicky Jam, Street Boris, Wisin & Yandel, Zion & Lennox, Alexis y Fido",TRUE,TRUE,79h5FSU8pO9FjNfh6UPmsD,https://p.scdn.co/mp3-preview/fc35354d1bda7a56f4c6adff48fad5b622049ac8?cid=774b29d4f13844c495f206cafdad9c86
Don Omar,John Eric,Desafio (Intro),Desafio (Intro),"Don Omar, Tempo, Tego Calderon, Angel Y Khriz, Baby Rasta & Gringo, Ivy Queen, John Eric, Jomar, Karel, Voltio, Las Guanabanas, Los Ganjas, Maestro, Mexicano 777, Nicky Jam, Street Boris, Wisin & Yandel, Zion & Lennox, Alexis y Fido",TRUE,TRUE,79h5FSU8pO9FjNfh6UPmsD,https://p.scdn.co/mp3-preview/fc35354d1bda7a56f4c6adff48fad5b622049ac8?cid=774b29d4f13844c495f206cafdad9c86
Don Omar,Voltio,Desafio (Intro),Desafio (Intro),"Don Omar, Tempo, Tego Calderon, Angel Y Khriz, Baby Rasta & Gringo, Ivy Queen, John Eric, Jomar, Karel, Voltio, Las Guanabanas, Los Ganjas, Maestro, Mexicano 777, Nicky Jam, Street Boris, Wisin & Yandel, Zion & Lennox, Alexis y Fido",TRUE,TRUE,79h5FSU8pO9FjNfh6UPmsD,https://p.scdn.co/mp3-preview/fc35354d1bda7a56f4c6adff48fad5b622049ac8?cid=774b29d4f13844c495f206cafdad9c86
Don Omar,Nicky Jam,Desafio (Intro),Desafio (Intro),"Don Omar, Tempo, Tego Calderon, Angel Y Khriz, Baby Rasta & Gringo, Ivy Queen, John Eric, Jomar, Karel, Voltio, Las Guanabanas, Los Ganjas, Maestro, Mexicano 777, Nicky Jam, Street Boris, Wisin & Yandel, Zion & Lennox, Alexis y Fido",TRUE,TRUE,79h5FSU8pO9FjNfh6UPmsD,https://p.scdn.co/mp3-preview/fc35354d1bda7a56f4c6adff48fad5b622049ac8?cid=774b29d4f13844c495f206cafdad9c86
Don Omar,Alexis y Fido,Desafio (Intro),Desafio (Intro),"Don Omar, Tempo, Tego Calderon, Angel Y Khriz, Baby Rasta & Gringo, Ivy Queen, John Eric, Jomar, Karel, Voltio, Las Guanabanas, Los Ganjas, Maestro, Mexicano 777, Nicky Jam, Street Boris, Wisin & Yandel, Zion & Lennox, Alexis y Fido",TRUE,TRUE,79h5FSU8pO9FjNfh6UPmsD,https://p.scdn.co/mp3-preview/fc35354d1bda7a56f4c6adff48fad5b622049ac8?cid=774b29d4f13844c495f206cafdad9c86
Don Omar,Daddy Yankee,La Noche Esta Buena,La Noche Esta Buena,"Don Omar, Héctor ""El Father"", Daddy Yankee",TRUE,TRUE,5MZPpz8RNYuiMpH95W8usJ,https://p.scdn.co/mp3-preview/f572852581ed945b08bc17689e5685e13030618f?cid=774b29d4f13844c495f206cafdad9c86
Don Omar,R.K.M & Ken-Y,Si la Ves,Si la Ves,"Don Omar, R.K.M & Ken-Y",TRUE,TRUE,1KmSLzYO8knh1nCdddLs2Y,https://p.scdn.co/mp3-preview/d88df74346f80d44f7fc0d49b2c3284e2e363bd1?cid=774b29d4f13844c495f206cafdad9c86
Don Omar,Arcangel,Yo Soy De Aqui,Yo Soy De Aqui,"Don Omar, Yandel, Daddy Yankee, Arcangel",TRUE,TRUE,5xPgLR8hKsPWlOBnurBi20,https://p.scdn.co/mp3-preview/a052c4fbfc407b52a5d93de1eb0232404f1f56a3?cid=774b29d4f13844c495f206cafdad9c86
Duki,De La Ghetto,Si Quieren Frontear,Si Quieren Frontear,"Duki, De La Ghetto, Quevedo",TRUE,TRUE,6bQ5823aHmFVKLZW8E7rRo,https://p.scdn.co/mp3-preview/4edc6a79f20b88b68164461ddb04043a43dc2089?cid=774b29d4f13844c495f206cafdad9c86
