source,target,type,id,label,timeset,weight,colab_track_popularity,colab_track_name,colab_track
Lyan,Maria Becerra,Directed,7749,,,2,67,En Tu Cuerpo - Remix,"[[""En Tu Cuerpo - Remix"", 67], [""En Tu Cuerpo - Remix"", 52]]"
Lyan,Lunay,Directed,7750,,,3,54,Mi Llamada (Remix),"[[""Mi Llamada (Remix)"", 54], [""Dos Opciones"", 52], [""Dos Opciones"", 41]]"
Lyan,Alex Rose,Directed,7751,,,3,54,Mi Llamada (Remix),"[[""Mi Llamada (Remix)"", 54], [""Repeat"", 47], [""Mi Llamada"", 44]]"
Lyan,Cazzu,Directed,7752,,,2,54,Mi Llamada (Remix),"[[""Mi Llamada (Remix)"", 54], [""Repeat"", 47]]"
Lyan,Eladio Carrion,Directed,7753,,,2,54,Mi Llamada (Remix),"[[""Mi Llamada (Remix)"", 54], [""Estamos Arriba"", 49]]"
Lyan,Piso 21,Directed,7754,,,1,49,Luna Llena,"[[""Luna Llena"", 49]]"
Lyan,Jerry Di,Directed,7755,,,1,49,Luna Llena,"[[""Luna Llena"", 49]]"
Lyan,Dalex,Directed,7756,,,2,49,Mi Momento Favorito,"[[""Repeat"", 47], [""Mi Momento Favorito"", 49]]"
Lyan,Lary Over,Directed,7757,,,1,47,Pa Mi,"[[""Pa Mi"", 47]]"
Lyan,Ankhal,Directed,7758,,,1,37,Muevelo,"[[""Muevelo"", 37]]"
Lyan,Arcangel,Directed,7759,,,1,39,Bandolero,"[[""Bandolero"", 39]]"
Lyan,Brray,Directed,7760,,,2,39,Bandolero,"[[""Bandolero"", 39], [""En el Tubo"", 31]]"
Lyan,Cauty,Directed,7761,,,2,42,Supéralo,"[[""Supe\u0301ralo"", 42], [""Casualidad"", 19]]"
Lyan,De La Ghetto,Directed,7762,,,2,41,Hola Shorty,"[[""Hola Shorty"", 41], [""Te Enamoraste"", 30]]"
Lyan,Rafa Pabön,Directed,7763,,,2,33,Contra la Pared,"[[""Exclusiva (Remix)"", 32], [""Contra la Pared"", 33]]"
Lyan,Darell,Directed,7764,,,2,35,Zapato y Cartera,"[[""Zapato y Cartera"", 35], [""Modo de Avi\u00f3n"", 27]]"
Lyan,Gigolo Y La Exce,Directed,7765,,,2,32,Preparate,"[[""Preparate"", 32], [""La Bellakera - Remix"", 29]]"
Lyan,Anonimus,Directed,7766,,,1,29,La Bellakera - Remix,"[[""La Bellakera - Remix"", 29]]"
Lyan,Amarion,Directed,7767,,,1,29,La Bellakera - Remix,"[[""La Bellakera - Remix"", 29]]"
Lyan,Jon Z,Directed,7768,,,6,31,En el Tubo,"[[""En el Tubo"", 31], [""Mimi"", 27], [""Violeta 2"", 20], [""Abajo - Remix"", 17], [""Blue Label"", 16], [""Zombie"", 15]]"
Lyan,Randy,Directed,7769,,,1,29,Peleamos y Arreglamos,"[[""Peleamos y Arreglamos"", 29]]"
Lyan,Farruko,Directed,7770,,,1,30,Location,"[[""Location"", 30]]"
Lyan,Benny Benni,Directed,7771,,,2,27,Mimi,"[[""Mimi"", 27], [""Abajo - Remix"", 17]]"
Lyan,J-King y Maximan,Directed,7772,,,2,25,18,"[[""18"", 25], [""Ese Pum Pum"", 17]]"
Lyan,Juanka,Directed,7773,,,3,22,"Donde Estan (Remix) [feat. J King, Juanka, Ozuna, Elio & Chyno Nyno]","[[""Donde Estan (Remix) [feat. J King, Juanka, Ozuna, Elio & Chyno Nyno]"", 22], [""Violeta 2"", 20], [""La Musa y la Herramienta (feat. Juanka)"", 18]]"
Lyan,Ozuna,Directed,7774,,,1,22,"Donde Estan (Remix) [feat. J King, Juanka, Ozuna, Elio & Chyno Nyno]","[[""Donde Estan (Remix) [feat. J King, Juanka, Ozuna, Elio & Chyno Nyno]"", 22]]"
Lyan,Yomo,Directed,7775,,,3,20,Violeta 2,"[[""Violeta 2"", 20], [""Abajo - Remix"", 17], [""Admite"", 18]]"
Lyan,Kevin Roldan,Directed,7776,,,1,20,Violeta 2,"[[""Violeta 2"", 20]]"
