,source,target,weight,track_name,artists,preview,source_id,target_id,track_id
2,Bad Bunny,Rauw Alejandro,1,Party,"Bad Bunny, Rauw Alejandro",https://p.scdn.co/mp3-preview/4982ab22ba534ab700ddc1f2f9ac143baaad7e24?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1mcTU81TzQhprhouKaTkpq,4tYFy8ALRjIZvnvSLw5lxN
10,Bad Bunny,Nicky Jam,4,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",https://p.scdn.co/mp3-preview/8dc93bba37297078743568d71b4d920de5ef762c?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1SupJlEpv7RS2tPNRaHViT,3V8UKqhEK5zBkBb6d6ub8i
161,Rauw Alejandro,Shakira,1,Te Felicito,"Shakira, Rauw Alejandro",https://p.scdn.co/mp3-preview/8e39a11448120d03c39012d7ea5cb688a2299260?cid=774b29d4f13844c495f206cafdad9c86,1mcTU81TzQhprhouKaTkpq,0EmeFodog0BfCgMzAIvKQp,2rurDawMfoKP4uHyb2kJBt
407,Nicky Jam,Rauw Alejandro,4,Que Le De,"Rauw Alejandro, Nicky Jam",https://p.scdn.co/mp3-preview/74068faefe53d8813b0bf38d633269d882f7d733?cid=774b29d4f13844c495f206cafdad9c86,1SupJlEpv7RS2tPNRaHViT,1mcTU81TzQhprhouKaTkpq,08aYFNUTIOMGq93e2VSArQ
3652,Shakira,Nicky Jam,2,Perro Fiel (feat. Nicky Jam),"Shakira, Nicky Jam",https://p.scdn.co/mp3-preview/46f72efb7376702529e9bcee05485ba571506f2e?cid=774b29d4f13844c495f206cafdad9c86,0EmeFodog0BfCgMzAIvKQp,1SupJlEpv7RS2tPNRaHViT,70lnL3QaSOIIyMa2X9aVRL
3662,Shakira,Rauw Alejandro,1,Te Felicito,"Shakira, Rauw Alejandro",https://p.scdn.co/mp3-preview/8e39a11448120d03c39012d7ea5cb688a2299260?cid=774b29d4f13844c495f206cafdad9c86,0EmeFodog0BfCgMzAIvKQp,1mcTU81TzQhprhouKaTkpq,2rurDawMfoKP4uHyb2kJBt
