,source,target,weight,track_name,artists,preview,source_id,target_id,track_id
15,Bad Bunny,Mora,2,Volando - Remix,"Mora, Bad Bunny, Sech",https://p.scdn.co/mp3-preview/6a302c41a3f9f2a7a757b4e83e524c37e668e8c6?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,0Q8NcsJwoCbZOHHW63su5S,0G2zPzWqVjR68iNPmx2TBe
16,Bad Bunny,Jowell & Randy,1,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",https://p.scdn.co/mp3-preview/161fd43b212f9ed0077665c7cb73d2a5469c1527?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,4IMAo2UQchVFyPH24PAjUs,2DEZmgHKAvm41k4J3R2E9Y
17,Bad Bunny,Anuel AA,2,Está Cabrón Ser Yo,"Bad Bunny, Anuel AA",https://p.scdn.co/mp3-preview/0859f08bb1b6a80c229ae4930b105ce262da94f7?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,2R21vXR83lH98kGeO99Y66,4saHEjXw7O1NXJOzBkUKKG
18,Bad Bunny,Myke Towers,2,Puesto Pa' Guerrial,"Bad Bunny, Myke Towers",https://p.scdn.co/mp3-preview/49980ffcfbdc25e197df786461a5f441d0ebbf06?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,7iK8PXO48WeuP03g8YR51W,5gCg2qMPzKkW4jS4dBKdDs
19,Bad Bunny,Kendo Kaponi,1,P FKN R,"Bad Bunny, Kendo Kaponi, Arcangel",https://p.scdn.co/mp3-preview/608f3e482c7505a9c6519c93669da272a54fb1ae?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1WMwuNKzEFtU6pPkdtryYS,0fgsKar6uBO08vzHXkTjWi
20,Bad Bunny,Arcangel,12,Diles,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",https://p.scdn.co/mp3-preview/0a4fa12dea105b71d7e0a9facddc6b8cfe138af5?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,4SsVbpTthjScTS7U2hmr1X,6C1RD7YQVvt3YQj0CmuTeu
21,Bad Bunny,Duki,2,Loca - Remix,"KHEA, Bad Bunny, Duki, Cazzu",https://p.scdn.co/mp3-preview/a2deeb347df776468ac9dd12d3c330c6c77804da?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1bAftSH8umNcGZ0uyV7LMg,2ECIwi1a7mfokdDkkJ08Ne
22,Bad Bunny,Pablo Chill-E,1,Hablamos Mañana,"Bad Bunny, Duki, Pablo Chill-E",https://p.scdn.co/mp3-preview/99d4baf77eddf06e4d7f36241cf31326f25810dc?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,2XcZshqzPKm3iZcmt73R8D,1V8XneTrX6kKeoxYbk4x6h
23,Bad Bunny,J Balvin,10,UN PESO,"J Balvin, Bad Bunny, Marciano Cantero",https://p.scdn.co/mp3-preview/f318e0b0fa5077eb0e486c16b119c8e6eb3cc04c?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1vyhD5VmyZ7KMfW5gqLgo5,7hynhxDoDpgMIV12JuVtNa
24,Bad Bunny,Marciano Cantero,1,UN PESO,"J Balvin, Bad Bunny, Marciano Cantero",https://p.scdn.co/mp3-preview/f318e0b0fa5077eb0e486c16b119c8e6eb3cc04c?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,5QzDzXfXC5lepOBeQXBiVO,7hynhxDoDpgMIV12JuVtNa
